Company Name,Industry,Symbol,Series,ISIN Code
EMBASSY OFFICE PARKS REIT,Realty,EMBASSY,RR,INE041025011
Brookfield India Real Estate Trust,Realty,BIRET,RR,INE0FDU25010
Nexus Select Trust,Realty,NXST,RR,INE0NDH25011
Knowledge Realty Trust,Realty,KRT,RR,INE1JAR25012
MINDSPACE BUSINESS PARKS REIT,Realty,MINDSPACE,RR,INE0CCU25019
IndiGrid Infrastructure Trust,Power,INDIGRID,IV,INE219X23014
POWERGRID Infrastructure Investment Trust,Power,PGINVIT,IV,INE0GGX23010
IRB INVIT FUND,Services,IRBINVIT,IV,INE183W23014
Raajmarg Infra Investment Trust,Services,RIIT,IV,INE2PB023011
Indus Infra Trust,Services,INDUSINVIT,IV,INE0NHL23019
Capital Infra Trust,Construction,CAPINVIT,IV,INE0Z8Z23013
Citius TransNet Investment Trust,Services,CITIUSINVT,IV,INE2Q7823014
Anantam Highways Trust,Construction,ANANTAM,IV,INE1UA823019
