Company Name,Industry,Symbol,Series,ISIN Code
Anantam Highways Trust,Construction,ANANTAM,IV,INE1UA823019
Brookfield India Real Estate Trust,Realty,BIRET,RR,INE0FDU25010
Capital Infra Trust,Construction,CAPINVIT,IV,INE0Z8Z23013
Citius TransNet Investment Trust,Services,CITIUSINVT,IV,INE2Q7823014
EMBASSY OFFICE PARKS REIT,Realty,EMBASSY,RR,INE041025011
IRB INVIT FUND,Services,IRBINVIT,IV,INE183W23014
IndiGrid Infrastructure Trust,Power,INDIGRID,IV,INE219X23014
Indus Infra Trust,Services,INDUSINVIT,IV,INE0NHL23019
Knowledge Realty Trust,Realty,KRT,RR,INE1JAR25012
MINDSPACE BUSINESS PARKS REIT,Realty,MINDSPACE,RR,INE0CCU25019
Nexus Select Trust,Realty,NXST,RR,INE0NDH25011
POWERGRID Infrastructure Investment Trust,Power,PGINVIT,IV,INE0GGX23010
Raajmarg Infra Investment Trust,Services,RIIT,IV,INE2PB023011
