Company Name,Industry,Symbol,Series,ISIN Code
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019
Aditya Birla Money Ltd.,Financial Services,BIRLAMONEY,EQ,INE865C01022
Aditya Birla Real Estate Ltd.,Realty,ABREL,EQ,INE055A01016
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
Century Enka Ltd.,Textiles,CENTENKA,EQ,INE485A01015
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012
Pilani Investment and Industries Corporation Ltd.,Financial Services,PILANIINVS,EQ,INE417C01014
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
