Company Name,Industry,Symbol,Series,ISIN Code
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LTM Ltd.,Information Technology,LTM,EQ,INE214T01019
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011
Meesho Ltd.,Consumer Services,MEESHO,EQ,INE0VDM01015
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
Netweb Technologies India Ltd.,Information Technology,NETWEB,EQ,INE0NT901020
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Physicswallah Ltd.,Consumer Services,PWL,EQ,INE0LP301011
Pine Labs Ltd.,Financial Services,PINELABS,EQ,INE15B701018
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019
Sagility Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
Urban Company Ltd.,Consumer Services,URBANCO,EQ,INE0CAZ01013
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
