Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Anthem Biosciences Ltd.,Healthcare,ANTHEM,EQ,INE0CZ201020
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Motors Ltd.,Capital Goods,TMCV,EQ,INE1TAE01010
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
