Company Name,Industry,Symbol,Series,ISIN Code
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA,EQ,INE0AQ201015
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025
Travel Food Services Ltd.,Consumer Services,TRAVELFOOD,EQ,INE103V01028
