Company Name,Industry,Symbol,Series,ISIN Code
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,EQ,INE343B01030
Relaxo Footwears Ltd.,Consumer Durables,RELAXO,EQ,INE131B01039
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01013
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Zee Entertainment Enterprises Ltd.,"Media, Entertainment & Publication",ZEEL,EQ,INE256A01028
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
